id,date,time,x_value,y_value,z_value
1,2022-09-03,7:11,65.1668,23.4164,86.2626
2,2022-06-14,8:41,74.2419,68.3473,58.7712
3,2022-01-25,22:32,25.3631,28.3406,74.2304
4,2022-10-05,0:49,38.5131,90.8252,1.9623
5,2022-03-28,19:08,75.2414,77.5581,71.2778
6,2022-02-08,13:37,67.0684,30.0482,78.4021
7,2022-10-26,23:16,97.1672,34.4919,59.2462
8,2022-12-11,7:50,86.1933,43.3736,11.2606
9,2022-08-20,21:34,12.0888,71.919,65.4435
10,2023-01-06,16:44,6.0059,94.8672,30.9771
11,2022-09-16,8:57,21.8597,48.821,37.5141
12,2022-11-24,4:34,8.225,42.1986,91.0835
13,2022-07-04,12:30,49.6985,39.5614,81.9193
14,2022-12-31,14:31,28.3519,33.9867,19.9704
15,2022-07-24,13:28,35.1903,96.8758,95.5158
16,2022-06-22,2:33,41.3476,75.2357,15.4287
17,2022-05-24,1:33,37.3263,90.377,93.1219
18,2022-03-20,7:41,2.8638,59.638,21.0575
19,2022-09-24,10:44,83.5029,60.2476,21.4506
20,2022-02-13,9:14,5.7823,23.9876,45.3414
21,2022-05-26,8:26,11.2796,67.7131,99.1669
22,2022-01-30,10:13,41.2772,17.6674,30.8278
23,2022-09-19,13:33,66.0116,30.2384,17.8673
24,2022-10-25,2:51,62.7801,31.3702,19.4835
25,2022-07-19,11:14,59.0295,49.1857,10.0676
26,2022-07-26,18:07,29.8099,34.5833,7.2463
27,2022-11-14,5:25,38.2591,81.9438,55.5689
28,2022-03-26,7:06,11.1277,31.9713,49.5402
29,2022-12-07,14:27,30.9231,91.6868,56.345
30,2022-05-07,12:35,52.0898,82.2887,71.3657
31,2022-04-27,22:32,15.1266,22.2227,34.3559
32,2022-11-04,4:14,45.4391,61.9155,25.2821
33,2022-01-27,22:03,81.6966,77.5076,27.7768
34,2022-07-16,10:33,61.0494,62.4315,68.7412
35,2022-06-20,12:03,41.3157,78.6162,95.4956
36,2023-01-05,15:29,4.5046,55.6186,92.8826
37,2022-03-04,2:22,66.795,79.1383,8.7587
38,2022-12-12,11:27,96.3138,80.5184,70.9127
39,2022-09-22,21:40,86.02,41.9835,60.7143
40,2022-05-12,2:37,62.5924,82.9515,70.5858
41,2023-01-14,8:45,75.013,9.0952,10.4606
42,2022-05-11,10:21,83.8432,96.1727,16.8877
43,2022-02-17,11:32,66.9266,12.3578,57.4635
44,2022-05-20,8:22,94.2559,92.348,17.8713
45,2022-07-08,15:58,89.7381,50.7974,74.1735
46,2023-01-20,16:59,31.1726,92.7143,93.6226
47,2023-01-15,19:27,98.5539,76.1923,94.0708
48,2022-12-19,9:25,83.7671,10.1924,71.8476
49,2022-04-16,20:38,93.339,18.8234,88.2771
50,2022-08-25,3:27,94.7727,96.4453,30.8386
51,2023-01-01,0:25,68.5349,8.5101,76.143
52,2022-03-21,1:53,16.8318,24.8303,73.1488
53,2022-06-23,13:53,41.5821,22.0259,64.7428
54,2022-01-27,2:03,35.5291,13.6091,72.3119
55,2022-01-30,1:12,19.9804,14.5254,3.6947
56,2022-04-13,17:01,98.5069,60.9661,82.5243
57,2022-10-30,4:03,60.0102,91.7314,4.8997
58,2022-10-29,6:12,81.1411,72.8267,32.937
59,2022-10-03,17:35,80.4895,93.8212,64.7415
60,2022-04-24,15:23,87.2068,77.2489,20.1346
61,2022-05-30,12:17,30.7074,53.0243,60.0952
62,2022-07-01,13:38,99.9625,25.3008,12.6653
63,2022-05-06,0:26,77.1366,81.2971,72.6478
64,2022-10-06,15:02,35.7018,34.6284,67.5154
65,2023-01-02,20:32,7.9158,62.6012,32.6672
66,2022-07-06,1:18,61.7611,82.8252,97.2186
67,2022-08-07,15:14,40.2834,78.0637,72.2967
68,2022-12-21,8:44,14.7922,2.8282,11.1487
69,2022-12-06,8:44,10.0122,82.2033,69.3384
70,2022-02-18,19:34,49.3837,31.7884,5.5164
71,2022-12-03,14:48,99.5498,53.0345,30.6971
72,2022-12-23,4:02,29.1186,94.0941,86.7638
73,2022-07-12,13:38,5.1482,53.0649,77.6961
74,2022-11-21,11:22,77.7006,42.7267,2.1026
75,2022-05-07,20:52,52.1037,92.6318,36.7071
76,2022-09-25,2:33,58.5608,55.3087,77.9427
77,2022-04-21,10:31,18.2444,4.3439,44.5483
78,2022-07-12,18:39,19.2937,21.8755,59.1937
79,2022-03-23,18:40,35.5768,57.3667,56.6175
80,2022-10-14,13:22,55.9219,79.3251,33.3757
81,2022-07-07,23:14,56.5866,72.3381,8.5953
82,2022-05-28,14:49,29.6889,82.6642,97.3635
83,2022-06-16,22:05,84.6897,64.2431,64.731
84,2022-09-04,16:06,99.8074,45.5365,93.5803
85,2022-05-29,15:29,58.2119,23.3153,45.715
86,2022-08-09,10:10,94.5134,90.2055,24.6767
